Name,Address,Lat,Lon,Category,Reviews
Monarca Express,"8721 Lake City Way NE Mapleleaf Seattle, WA 98115",47.6919878,-122.3066184,mexican,11
Nana's Family Mexican Kitchen & Cantina,"1825 Queen Anne Ave Queen Anne Seattle, WA 98109",47.635556,-122.3573549,mexican,82
Red Star Taco Bar,"513 N 36th St Fremont Seattle, WA 98103",47.6513812,-122.3517786,mexican,81
Casa Rojas Express,"321 High School Rd Ste 4D Bainbridge Island, WA 98110",47.6347855,-122.5174815,mexican,27
Taqueria El Rinconsito,"15245 International Blvd SeaTac, WA 98188",47.4657484,-122.289705,mexican,45
El Asador,"3320 Rainier Ave S Mount Baker Seattle, WA 98144",47.5735,-122.293996,mexican,10
Poquitos,"1000 E Pike St Capitol Hill Seattle, WA 98122",47.614426,-122.319061,mexican,691
Puerto Vallarta,"8208 NE State Highway 104 Kingston, WA 98346",47.8108217,-122.5391731,mexican,51
El Chupacabra,"2620 Alki Ave SW Alki Seattle, WA 98116",47.580103,-122.407311,mexican,169
Taqueria La Pasadita,"2143 N Northgate Way In the 76 Parking Lot Haller Lake Seattle, WA 98133",47.7469282,-122.379356,mexican,70
Baja Bistro,"2414 Beacon Ave S Beacon Hill Seattle, WA 98144",47.5816275,-122.3141319,mexican,141
Taqueria El Taco Maestro,"3172 NE Sunset Blvd Renton, WA 98056",47.5045312,-122.1771663,mexican,60
El Maestro del Taco,"15615 NE 8th St Bellevue, WA 98008",47.6166596,-122.1318854,mexican,40
Julio's,"10023 NE 183rd St Bothell, WA 98011",47.7605172,-122.2062299,mexican,115
Pasion Tequila Family Mexican,"19103 Bothell Way NE Bothell, WA 98011",47.7665104,-122.2107033,mexican,146
Rancho Bravo Tacos,"1001 E Pine St Capitol Hill Seattle, WA 98122",47.615109,-122.3189066,mexican,602
Peso's Kitchen & Lounge,"605 Queen Anne Ave N Lower Queen Anne Seattle, WA 98109",47.6248878,-122.356922,mexican,1018
Taqueria Guadalajara,"Hungry Bear Market 2421 148th Ave NE Bellevue, WA 98007",47.631875,-122.143664,mexican,131
Taqueria El Mezon,"9641 15th Ave SW White Center Seattle, WA 98106",47.516038,-122.354334,mexican,10
